MissionID,MissionDate,TheaterOfOperations,Country,AirForce,AircraftSeries,Callsign,TakeoffBase,TakeoffLocation,TakeoffLatitude,TakeoffLongitude,TargetCountry,TargetCity,TargetType,TargetIndustry,TargetLatitude,TargetLongitude,AirborneAircraft,AttackingAircraft,BombingAircraft,AircraftReturned,AircraftFailed,AircraftDamaged,AircraftLost,HighExplosives,HighExplosivesType,HighExplosivesWeight_Pounds_,HighExplosivesWeight_Tons_,IncendiaryDevices,IncendiaryDevicesType,IncendiaryDevicesWeight_Pounds_,IncendiaryDevicesWeight_Tons_,FragmentationDevices,FragmentationDevicesType,FragmentationDevicesWeight_Pounds_,FragmentationDevicesWeight_Tons_,TotalWeight_Pounds_,TotalWeight_Tons_,TimeOverTarget,BombDamageAssessment,SourceID
177289,10-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"ORLANDO","",,38.15,14.73,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
177290,10-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"ORLANDO","",,38.15,14.73,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
177291,10-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"ORLANDO","",,38.15,14.73,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
177292,10-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"BARCELLONA","",,38.13,15.22,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
177334,11-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"TINDARO","",,38.15,15.05,24,NaN,24,NaN,NaN,NaN,NaN,48,500 LB GP (GP-M43/M64),NaN,12,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,12,NaN,NaN,NaN
177447,26-Jul-1944,MTO,GREAT BRITAIN,RAF,LIB,NaN,"""TORTORELLA, FOGGIA""",ITALY,4248,1355,ROMANIA,"PLOESTI ROMANO - AMERICANO","",,44.93,26.05,67,67,67,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,0,NaN,,NaN,0,NaN,131.25,NaN,NaN,699040
177555,11-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"ORLANDO","",,38.15,14.73,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
177556,11-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"GIOJOSA","",,38.35,16.28,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
177557,11-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"PIROMO","",,45.53,13.55,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
177558,11-Aug-1943,MTO,GREAT BRITAIN,RAF,LIB,NaN,"OUDNA",TUNISIA,36.649608,10.121936,GREECE,"SAN GIOVANNI","",,38.22,15.22,13,13,13,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,NaN,630,4 LB INCENDIARY,NaN,17.01,NaN,,NaN,0,NaN,51.51,NaN,NaN,699211
177620,12-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"PATTI","",,38.13,14.95,12,NaN,12,NaN,NaN,NaN,NaN,24,500 LB GP (GP-M43/M64),NaN,6,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,6,NaN,NaN,NaN
177834,27-Jul-1944,MTO,GREAT BRITAIN,RAF,LIB,NaN,"""TORTORELLA, FOGGIA""",ITALY,4248,1355,ROMANIA,"BUCHAREST PRAHOVA O/R","",,44.42,26.1,70,70,70,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,0,NaN,,NaN,0,NaN,138,NaN,NaN,698280
178147,13-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"SPADAFORA","",,38.22,15.37,26,NaN,26,NaN,2,NaN,NaN,52,500 LB GP (GP-M43/M64),NaN,13,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,13,NaN,NaN,NaN
178148,13-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"SCILLA","",,38.23,15.72,24,NaN,24,NaN,NaN,NaN,NaN,48,500 LB GP (GP-M43/M64),NaN,12,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,12,NaN,NaN,NaN
178154,13-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"MILAZZO","",,38.2,15.25,20,NaN,20,NaN,NaN,NaN,NaN,40,500 LB GP (GP-M43/M64),NaN,10,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,10,NaN,NaN,NaN
178155,13-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"TINDARO","",,38.15,15.05,20,NaN,20,NaN,NaN,NaN,NaN,40,500 LB GP (GP-M43/M64),NaN,10,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,10,NaN,NaN,NaN
178160,13-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"CAPE TINDARO","",,38.15,15.05,16,NaN,16,NaN,NaN,NaN,NaN,32,500 LB GP (GP-M43/M64),NaN,8,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,8,NaN,NaN,NaN
178178,13-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"MESSINA","",,38.18,15.57,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
178481,14-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"GIOJA TAURO","",,38.43,15.9,33,NaN,33,NaN,3,NaN,NaN,66,500 LB GP (GP-M43/M64),NaN,16.5,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,16.5,NaN,NaN,NaN
